location,latitude,longitude
Banashankari,12.9152208,77.573598
Basavanagudi,12.9417261,77.5755021
Mysore Road,12.9104361,77.4836681
Jayanagar,12.9292731,77.5824229
Kumaraswamy Layout,12.9068169,77.5635247362134
Rajarajeshwari Nagar,12.9274278,77.5153722
Vijay Nagar,12.9718886,77.5457888388713
Uttarahalli,12.9055682,77.5455438
JP Nagar,12.9072515,77.5782713
South Bangalore,12.9791198,77.5912997
City Market,12.965718,77.5762705372058
Nagarbhavi,12.9651008,77.5078635
Bannerghatta Road,12.9106394,77.6000462
BTM,12.91127585,77.6045654343118
Kanakapura Road,12.9065633,77.573184
Bommanahalli,13.3457317,77.4333346
Electronic City,12.9791198,77.5912997
HSR,12.91445305,77.6426938363703
Marathahalli,12.9552572,77.6984163
Sarjapur Road,12.9244842,77.6502725
Wilson Garden,12.9489339,77.5968273
Shanti Nagar,12.9575547,77.5979099
Koramangala 5th Block,13.2923988,77.7519261
Koramangala 8th Block,12.9417812,77.6160146
Richmond Road,12.9667094,77.6090347
Jalahalli,13.0464531,77.5483803
Koramangala 7th Block,13.2923988,77.7519261
Koramangala 4th Block,12.93433385,77.6304063955327
Bellandur,12.9791198,77.5912997
Whitefield,12.9696365,77.7497448
East Bangalore,12.9791198,77.5912997
Old Airport Road,12.9593577,77.6614182
Koramangala 1st Block,12.9243509,77.6255562
RT Nagar,13.0227204,77.595715
MG Road,12.9741854,77.6124135
Brigade Road,12.9736132,77.6074716
Lavelle Road,12.9683054,77.5964883
Ulsoor,12.9778793,77.6246697
Church Street,12.9742939,77.6525189
Residency Road,13.055254,77.6254675
Shivajinagar,12.986391,77.6075416
Infantry Road,12.9831774,77.595831
St. Marks Road,12.9779057,77.6022008
Cunningham Road,12.9868908,77.59503
Race Course Road,12.98233305,77.5807788792357
Commercial Street,12.9821931,77.6083132
Vasanth Nagar,12.98872125,77.5851687760182
HBR Layout,13.0358698,77.6323597
Domlur,12.9624669,77.6381958
Indiranagar,12.9732913,77.6404672
Frazer Town,12.996845,77.6130165
Ejipura,12.945245,77.6269144
Jeevan Bhima Nagar,12.9678074,77.6568367
Old Madras Road,13.0288138,77.725297
Malleshwaram,13.0027353,77.5703253
Kammanahalli,13.00796435,77.6366701521896
Majestic,12.9749265,77.5757831
Koramangala 6th Block,13.2923988,77.7519261
Langford Town,12.9551331,77.6056066
Central Bangalore,12.97339325,77.6112342691467
Sanjay Nagar,12.9578658,77.6958748
Brookefield,12.9668213,77.7168891
"ITPL Main Road, Whitefield",12.967576,77.7150877
"Varthur Main Road, Whitefield",12.969444,77.7499922
KR Puram,13.007516,77.695935
Koramangala 2nd Block,12.9235254,77.6222873539518
Koramangala 3rd Block,12.9271867,77.6266252
Koramangala,13.2923988,77.7519261
Hosur Road,12.9295648,77.615163
Rajajinagar,12.9882338,77.554883
Seshadripuram,12.9931876,77.5753419
Banaswadi,13.0141618,77.6518539
North Bangalore,12.9791198,77.5912997
Nagawara,13.0338313,77.6225083
Hennur,13.0258087,77.6305067
Kalyan Nagar,13.0221416,77.6403368
New BEL Road,13.0431836,77.5613495
Jakkur,13.0784743,77.6068938
Rammurthy Nagar,13.0120218,77.6777817
Thippasandra,12.973936,77.6509982
CV Raman Nagar,12.9856478,77.6649767
Kaggadasapura,12.9846713,77.6790908
Kengeri,12.9199402,77.4833485
Sankey Road,13.0055699,77.5809081
Sadashiv Nagar,13.0077079,77.5795893
Basaveshwara Nagar,12.9932236,77.5391579
Yeshwantpur,13.0236062,77.5566302
West Bangalore,12.9791198,77.5912997
Yelahanka,13.1006982,77.5963454
Sahakara Nagar,13.0621474,77.580061354805
Hebbal,13.0382184,77.5919
Magadi Road,12.9858515,77.486927
Peenya,13.0329419,77.5273253
